Position,Worth,Name,Age,Source,Country,Gender_cat
268,6.4 BUSD,Suleiman Kerimov,52,Finance and Investments  ==> investments,None,Male
269,6.4 BUSD,Ian & Richard Livingstone,62,Real Estate  ==> real estate,None,Male
270,6.4 BUSD,Pang Kang,62,Food and Beverage  ==> soy sauce maker,None,Not Available
271,6.4 BUSD,David Shaw,67,Finance and Investments  ==> hedge funds,None,Not Available
272,6.4 BUSD,Kushal Pal Singh,86,Real Estate  ==> real estate,India,Male
273,6.4 BUSD,John A. Sobrato,79,Real Estate  ==> real estate,United States,Male
274,6.3 BUSD,Acharya Balkrishna,45,Food and Beverage  ==> consumer goods,None,Male
275,6.3 BUSD,Guenther Fielmann,78,Healthcare  ==> optometry,None,Male
276,6.3 BUSD,Daniel Gilbert,56,Finance and Investments  ==> Quicken Loans,United States,Male
277,6.3 BUSD,Antonia Johnson,74,Diversified  ==> diversified,Sweden,Female
278,6.3 BUSD,Vikram Lal,76,Automotive  ==> motorcycles,India,Male
279,6.3 BUSD,Akira Mori,81,Real Estate  ==> real estate,None,Male
280,6.3 BUSD,Maria-Elisabeth Schaeffler-Thumann,76,Automotive  ==> auto parts,Germany,Female
281,6.2 BUSD,Albert Frere,92,Finance and Investments  ==> investments,None,Male
282,6.2 BUSD,Richard Kinder,73,Energy  ==> pipelines,United States,Male
283,6.2 BUSD,Robert Kraft,77,Sports  ==> New England Patriots,United States,Male
284,6.2 BUSD,Ralph Lauren,78,Fashion & Retail  ==> Ralph Lauren,United States,Male
285,6.2 BUSD,Bruno Schroder,85,Finance and Investments  ==> banking,United Kingdom,Male
286,6.2 BUSD,Nusli Wadia,74,Food and Beverage  ==> consumer goods,None,Male
287,6.1 BUSD,Pierre Bellon,88,Service  ==> food services,None,Male
288,6.1 BUSD,Les Wexner,80,Fashion & Retail  ==> retail,None,Male
289,6.0 BUSD,Benu Gopal Bangur,87,Manufacturing  ==> cement,India,Male
290,6.0 BUSD,David Cheriton,67,Technology  ==> Google,None,Male
291,6.0 BUSD,Ma Jianrong,54,"Fashion & Retail  ==> textiles, apparel",None,Not Available
292,6.0 BUSD,Whitney Macmillan,88,Food and Beverage  ==> Cargill,United States,Male
293,6.0 BUSD,Dan Olsson,71,Diversified  ==> diversified,None,Male
294,6.0 BUSD,Vivek Chaand Sehgal,61,Automotive  ==> auto parts,Australia,Not Available
295,6.0 BUSD,Teh Hong Piow,88,Finance and Investments  ==> banking,None,Male
296,5.9 BUSD,Abdulla Bin Ahmad Al Ghurair,62,Diversified  ==> diversified,United Arab Emirates,Male
297,5.9 BUSD,Maria Asuncion Aramburuzabala,55,"Food and Beverage  ==> beer, investments",None,Female
298,5.9 BUSD,Ralph Dommermuth,54,Technology  ==> internet service provider,None,Male
299,5.9 BUSD,Frank Lowy,87,Real Estate  ==> shopping malls,Australia,Male
300,5.9 BUSD,Wolfgang Marguerre,77,Healthcare  ==> pharmaceuticals,None,Male
301,5.9 BUSD,Marijke Mars,53,"Food and Beverage  ==> candy, pet food",None,Female
302,5.9 BUSD,Pamela Mars,57,"Food and Beverage  ==> candy, pet food",None,Female
303,5.9 BUSD,Valerie Mars,59,"Food and Beverage  ==> candy, pet food",United States,Female
304,5.9 BUSD,Victoria Mars,61,"Food and Beverage  ==> candy, pet food",None,Female
305,5.8 BUSD,David & Frederick Barclay,84,"Diversified  ==> media, retail",None,Not Available
306,5.8 BUSD,"John Gokongwei, Jr.",91,Diversified  ==> food and beverage,Philippines,Male
307,5.8 BUSD,Kwon Hyuk-Bin,44,Technology  ==> online games,None,Male
308,5.8 BUSD,Nancy Walton Laurie,67,Fashion & Retail  ==> Walmart,United States,Female
309,5.8 BUSD,Lin Yu-Ling,81,Real Estate  ==> real estate,None,Male
310,5.8 BUSD,Tom & Judy Love,81,Fashion & Retail  ==> retail & gas stations,United States,Male
311,5.8 BUSD,Robert Rowling,64,Energy  ==> investments,None,Not Available
312,5.8 BUSD,Dennis Washington,83,"Logistics  ==> construction, mining",None,Male
313,5.8 BUSD,Yao Liangsong,53,Manufacturing  ==> furniture,None,Male
314,5.8 BUSD,Zhang Jindong,55,Fashion & Retail  ==> appliance retailer,None,Not Available
315,5.7 BUSD,Juan Francisco Beckmann Vidal,78,Food and Beverage  ==> tequila,None,Male
316,5.7 BUSD,David Sun,66,Technology  ==> computer hardware,United States,Male
